Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A686384,Blaze,08/21/2014,11:12AM,Burnet/Clay in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A686386,*Sally,08/21/2014,11:13AM,Wells Branch Pkwy & Tandem Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,German Shepherd/Boxer,Brown/Black
A660973,Roxie,08/21/2014,11:25AM,William Canon And Mopac in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Black Brindle/White
A660946,Holo,08/21/2014,11:25AM,William Canon And Mopac in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Brown
A684431,*Max,08/21/2014,11:38AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Queensland Heeler,Red/White
A686388,Mina,08/21/2014,11:41AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Blue
A686389,Bam Bam,08/21/2014,11:41AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Chocolate
A680946,Pinto,08/21/2014,11:44AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Black
A686403,Ziggy,08/21/2014,12:09PM,1503 Morgan Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Basset Hound Mix,Black/Tan
A551642,Bowie,08/21/2014,12:09PM,1503 Morgan Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Basset Hound Mix,White/Brown
A686394,*Ava,08/21/2014,12:17PM,4600 Hank Ave in Austin (TX),Stray,Normal,Cat,Spayed Female,3 years,Manx Mix,Black
A686392,Chanel,08/21/2014,12:20PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Chocolate/White
A686393,Sugar,08/21/2014,12:21PM,13717 Burnet Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Tan/White
A686391,Buddy,08/21/2014,12:21PM,133717 Burnet Rd in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle Mix,Brown
A686395,,08/21/2014,12:32PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Pointer Mix,White/Black
A686396,,08/21/2014,12:32PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Pointer Mix,White/Black
A686397,,08/21/2014,12:32PM,Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Plott Hound Mix,Black/Brown Brindle
A686398,,08/21/2014,12:32PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Plott Hound Mix,Black/Brown Brindle
A686404,,08/21/2014,12:33PM,5017 W Hwy 290 in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White
A686405,,08/21/2014,12:33PM,5017 W Hwy 290 in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
A686406,,08/21/2014,12:39PM,Loyola And Decker in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
A686407,Luna,08/21/2014,12:45PM,Hudson Bend Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Chihuahua Longhair/Pekingese,Black/White
A685400,Mochi,08/21/2014,12:47PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,10 months,Shiba Inu Mix,Brown
A686408,,08/21/2014,12:55PM,9110 Fm 812 in Travis (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue Tabby
A686409,,08/21/2014,12:55PM,9110 Fm 812 in Travis (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue
A686410,Nugget,08/21/2014,1:01PM,Lake Cliff Trail & Stratford Hills Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Tan
A686411,,08/21/2014,1:23PM,13904 Old Hwy 20 in Manor (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A686412,,08/21/2014,1:23PM,13904 Old Hwy 20 in Manor (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
A686413,Lilo,08/21/2014,1:45PM,28510 Fine Rd in Travis (TX),Public Assist,Aged,Dog,Intact Female,11 years,German Shepherd Mix,Tan/Black
A686415,Kobi,08/21/2014,2:42PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Flat Coat Retriever Mix,Black/White
A686416,Lady,08/21/2014,3:02PM,Heatherwild/Olympia in Pflugerville (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever/Great Dane,Black/White
A686417,Pooh Bear,08/21/2014,3:19PM,Austin (TX),Owner Surrender,Aged,Dog,Neutered Male,15 years,Chihuahua Shorthair Mix,Tan/Black
A686390,*Huey,08/21/2014,4:14PM,4200 Brookview Rd in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Anatol Shepherd/Great Pyrenees,Tan/Black
A686433,*Tara,08/21/2014,6:16PM,Westgate in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
A686436,Remi,08/21/2014,6:26PM,Lake Creek Pkwy & Bristle Oak Trail in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Rottweiler,Black/Tan
A686435,Pancho,08/21/2014,6:35PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,4 months,Dachshund Mix,Brown/White
